url_domain,comment,not_other,other,not_emo,emo,not_arg,arg,not_norm,norm,total,pers_other,emo_pers,arg_pers,norm_pers,site_type,n_audience,pers_fb,pers_social,pers_tw,pers_ukr,ukr_audience
politobzor.net,,5634,9288,981,4653,1659,3975,4841,793,14922,0.6224366707,0.8258785942,0.7055378062,0.1407525737,vata,2550000,0.2366,0.0235,0.406,0.1499,382245
lug-info.com,,3282,905,3164,118,511,2771,2771,511,4187,0.2161452114,0.0359536868,0.8443022547,0.1556977453,vata,453230,0.1758,0.0514,0.0191,0.8438,382435
censoru.net,,2103,2664,414,1689,1136,967,1767,336,4767,0.558842039,0.8031383738,0.4598193058,0.1597717546,small_bad,2250000,0.4989,0.0516,0.031,0.487,1095750
nahnews.org,,5912,505,1711,4201,1430,4482,4837,1075,6417,0.0786972105,0.7105886333,0.7581190798,0.1818335589,vata,5410000,0.0592,0.1141,0.0169,0.2565,1387665
newspravda.com,,456,60,150,306,186,270,365,91,516,0.1162790698,0.6710526316,0.5921052632,0.1995614035,small_bad,,,,,,
dan-news.info,,3075,372,2901,174,810,2265,2302,773,3447,0.1079199304,0.0565853659,0.7365853659,0.2513821138,vata,503880,0.2026,0.1433,0.1443,0.6391,322030
ua24ua.net,,2268,540,638,1630,1009,1259,1697,571,2808,0.1923076923,0.7186948854,0.5551146384,0.2517636684,small_bad,169690,0.7514,0.228,0.0982,0.7722,131035
politikan.net,,790,319,257,533,569,221,551,239,1109,0.2876465284,0.6746835443,0.2797468354,0.3025316456,small_bad,,,,,,
repost.biz.ua,,215,223,72,143,150,65,146,69,438,0.5091324201,0.6651162791,0.3023255814,0.3209302326,small_bad,,,,,,
finoboz.net,,2266,1206,805,1461,1328,938,1538,728,3472,0.3473502304,0.6447484554,0.413945278,0.321270962,small_bad,,,,,,
naspravdi.info,,4785,3952,1793,2992,2352,2433,3233,1552,8737,0.4523291748,0.6252873563,0.5084639498,0.3243469175,vata,544480,0.321,0.0292,0.011,0.3419,186158
newsnet.name,,622,371,231,391,504,118,406,216,993,0.3736153072,0.6286173633,0.1897106109,0.347266881,small_bad,,,,,,
voenkor.info,,594,1928,442,152,249,345,380,214,2522,0.7644726408,0.2558922559,0.5808080808,0.3602693603,vata,,,,,,
rusvesna.su,,5841,7310,2929,2912,2880,2961,3731,2110,13151,0.5558512661,0.4985447697,0.5069337442,0.3612395138,vata,29610000,0.1066,0.0384,0.0539,0.3978,11778858
repost.net.ua,,354,448,138,216,253,101,226,128,802,0.5586034913,0.6101694915,0.2853107345,0.3615819209,small_bad,1770000,0.9921,0.9653,0.0045,0.9061,1603797
news-front.info,,11283,11145,6400,4883,4951,6332,7150,4133,22428,0.4969234885,0.4327749712,0.5611982629,0.3663032881,vata,4550000,0.3178,0.2657,0.1031,0.2354,1071070
politnavigator.net,,9151,2368,3700,5451,6457,2694,5691,3460,11519,0.2055734005,0.5956726041,0.2943940553,0.378100754,vata,4430000,0.3236,0.0879,0.1596,0.5287,2342141
comitet.su,,2248,229,1018,1230,1276,972,1390,858,2477,0.092450545,0.5471530249,0.4323843416,0.3816725979,vata,,,,,,
