url_domain,comment,norm_pers,emo_pers,arg_pers,ukr_audience,site_type,not_other,other,not_emo,emo,not_arg,arg,not_norm,norm,total,pers_other,n_audience,pers_fb,pers_social,pers_tw,pers_ukr
censoru.net,,0.1346817958,0.8268376912,0.472126295,1095750,small_bad,2027,2515,351,1676,1070,957,1754,273,4542,0.5537208278,2250000,0.4989,0.0516,0.031,0.487
politobzor.net,,0.1458147421,0.8215241835,0.7015884348,382245,vata,5603,9274,1000,4603,1672,3931,4786,817,14877,0.6233783693,2550000,0.2366,0.0235,0.406,0.1499
nahnews.org,,0.1624561404,0.7277192982,0.7756140351,1387665,vata,5700,465,1552,4148,1279,4421,4774,926,6165,0.0754257908,5410000,0.0592,0.1141,0.0169,0.2565
newspravda.com,,0.1628440367,0.7018348624,0.619266055,,small_bad,436,54,130,306,166,270,365,71,490,0.1102040816,,,,,
lug-info.com,,0.1642704191,0.0357907617,0.8357295809,382435,vata,3269,916,3152,117,537,2732,2732,537,4185,0.2188769415,453230,0.1758,0.0514,0.0191,0.8438
politikus.ru,,0.1885488648,0.8015794669,0.4846989141,1723756,ru_site,1013,4531,201,812,522,491,822,191,5544,0.8172799423,7030000,0.1271,0.0288,0.0224,0.2452
rueconomics.ru,,0.1992986558,0.5876680304,0.7460549386,302394,ru_site,6844,34809,2822,4022,1738,5106,5480,1364,41653,0.8356901064,3030000,0.099,0.055,0.015,0.0998
ua24ua.net,,0.2048249763,0.7630085147,0.5898770104,131035,small_bad,2114,513,501,1613,867,1247,1681,433,2627,0.1952797868,169690,0.7514,0.228,0.0982,0.7722
riafan.ru,,0.2148195601,0.4423802406,0.7404797494,1917384,ru_site,14049,43849,7834,6215,3646,10403,11031,3018,57898,0.7573491312,21210000,0.1108,0.057,0.0571,0.0904
politexpert.net,,0.215350635,0.5844837107,0.7506902264,362596,ru_site,3622,26377,1505,2117,903,2719,2842,780,29999,0.8792626421,4940000,0.1649,0.0162,0.0602,0.0734
warfare.com.ua,,0.2282157676,0.7717842324,0.0912863071,,small_bad,241,34,55,186,219,22,186,55,275,0.1236363636,,,,,
slovodel.com,,0.2564734895,0.6270036991,0.6356350185,94631,ru_site,1622,3754,605,1017,591,1031,1206,416,5376,0.6982886905,1730000,0.1244,0.0157,,0.0547
dan-news.info,,0.2617405583,0.0564860427,0.7261083744,322030,vata,3045,392,2873,172,834,2211,2248,797,3437,0.1140529532,503880,0.2026,0.1433,0.1443,0.6391
antifashist.com,,0.2620817844,0.5604089219,0.6347583643,434842,vata,1076,6304,473,603,393,683,794,282,7380,0.854200542,679760,0.66,0.1406,0.0532,0.6397
eer.ru,,0.2657004831,0.6666666667,0.3526570048,,ru_site,207,1208,69,138,134,73,152,55,1415,0.8537102473,,,,,
naspravdi.info,,0.3009118541,0.646765089,0.5249674338,186158,vata,4606,3799,1627,2979,2188,2418,3220,1386,8405,0.4519928614,544480,0.321,0.0292,0.011,0.3419
politikan.net,,0.3016476553,0.6755386565,0.2801013942,,small_bad,789,316,256,533,568,221,551,238,1105,0.2859728507,,,,,
