id,group
112.ua,in_target
24tv.ua,in_target
apostrophe.ua,in_target
bihus.info,in_target
censor.net.ua,in_target
dsnews.ua,in_target
facenews.ua,in_target
gazeta.ru,in_target
gazeta.ua,in_target
glavcom.ua,in_target
golos.ua,in_target
gordonua.com,in_target
hromadske.ua,in_target
interfax.com.ua,in_target
interfax.ru,in_target
korrespondent.net,in_target
kp.ua,in_target
lb.ua,in_target
lenta.ru,in_target
liga.net,in_target
nashigroshi.org,in_target
newsone.ua,in_target
nv.ua,in_target
obozrevatel.com,in_target
oligarh.media,in_target
politeka.net,in_target
pravda.com.ua,in_target
radiosvoboda.org,in_target
rbc.ua,in_target
replyua.net,in_target
ria.ru,in_target
riafan.ru,in_target
rian.com.ua,in_target
rt.com,in_target
segodnya.ua,in_target
slovoidilo.ua,in_target
sprotyv.info,in_target
strana.ua,in_target
tass.ru,in_target
tsn.ua,in_target
uapress.info,in_target
ubr.ua,in_target
ukranews.com,in_target
unian.ua,in_target
unn.com.ua,in_target
vesti-ua.net,in_target
vesti-ukr.com,in_target
zik.ua,in_target
zn.ua,in_target
znaj.ua,in_target
40ka.info,in_rank
agrimpasa.com,in_rank
"akcentnews.pp.ua, akcent.info",in_rank
alternatio.org,in_rank
antifashist.com,in_rank
antikor.com.ua,in_rank
"bbc-ccnn.com, bbcc-cnn.com, bbcccnn.co, bbcccnn.com.ua, bbcccnn.info, bbcccnn.today",in_rank
censoru.net,in_rank
comitet.su,in_rank
crisis.in.ua,in_rank
de-facto.cc,in_rank
dialog.ua,in_rank
economistua.com,in_rank
elise.com.ua,in_rank
finoboz.net,in_rank
from-ua.com,in_rank
glavk.info,in_rank
goruzont.blogspot.com,in_rank
iamir.info,in_rank
infa.ua,in_rank
infokava.com,in_rank
inforeactor.ru,in_rank
inforesist.org,in_rank
kompromat1.info,in_rank
kompromat1.net,in_rank
kompromat1.org,in_rank
korupciya.com,in_rank
life-invest.pp.ua,in_rank
lisovasotnya.[com/info],in_rank
mediapuls.ru,in_rank
nahnews.org,in_rank
naspravdi.info,in_rank
news-front.info,in_rank
news24ua.com,in_rank
newsname.info,in_rank
nk.org.ua,in_rank
patrioty.org.ua,in_rank
politcentr.ru,in_rank
politikan.net,in_rank
politnavigator.net,in_rank
politnews.net,in_rank
politolog.net,in_rank
prefiks.win,in_rank
prefiksblog.co.ua,in_rank
proua.com.ua,in_rank
prportal.com.ua,in_rank
repost.biz.ua,in_rank
repost.net.ua,in_rank
rusnext.ru,in_rank
rusvesna.su,in_rank
skelet-info.org,in_rank
slovech.co,in_rank
smigid.com.ua,in_rank
taras-ua.com,in_rank
thekievtimes.ua,in_rank
times.com.ua,in_rank
trident-ua.info,in_rank
ua24ua.net,in_rank
ua3.info,in_rank
uatime.net,in_rank
ukraina.ru,in_rank
ukrpress.info,in_rank
varota.com.ua,in_rank
warfare.com.ua,in_rank
xn--j1aidcn.org,in_rank
