id,real_url,ra_title,en_title,published,site_type,url_domain
2676602,https://lb.ua/news/2018/08/14/405086_zdanie_komitetov_vr_kieve_obnesut.html,Здание комитетов ВР в Киеве <strong>обнесут</strong> колючей проволокой,Parliamentary Committees in Kyiv will be <strong>fenced off</strong> with a barbed wire,2018-08-14 12:09:00 +00,big_ukr,lb.ua
2647626,https://www.pravda.com.ua/rus/news/2018/08/14/7189220/,Рада купит колючую проволоку <strong>для охраны</strong> своих комитетов,Rada (Ukrainian Parliament) will <strong>procure</strong> a barbed wire to protect its Committees,2018-08-14 14:01:08 +00,big_ukr,pravda.com.ua
,https://strana.ua/news/156005-apparat-rady-zakupil-koljuchuju-provoloku-na-26-tysjach-hriven.html,Рада решила <strong>оградиться от людей</strong> и закупила почти 200 метров колючей проволоки,Rada (Ukrainian Parliament) has decided to <strong>protect itself from the people</strong> and has purchased almost 200 meters of barbed wire.,2018-08-14 14:11:00 +00,influencer,strana.ua
2638844,http://ua24ua.net/narodnie-deputati-boyatsya-narod-rada-ograditsya-ot-lyudey-i-zakupila-pochti-200-metrov-kolyuchey-provoloki/,Народные депутаты <strong>ограживаются от народа</strong>. Рада закупила почти 200 метров колючей проволоки!,MPs are <strong>fencing themselves off from the people</strong>. Rada has purchased almost 200 meters of barbed wire!,2018-08-14 14:19:48 +00,small_bad,ua24ua.net
2633983,https://zn.ua/UKRAINE/rada-hochet-ogorodit-kolyuchey-provolokoy-zdaniya-komitetov-291706_.html,Рада закупит колючую проволоку для зданий комитетов,Rada will <strong>purchase</strong> barbed wire for its Committees’ buildings.,2018-08-14 14:51:04 +00,big_ukr,zn.ua
,https://newsone.ua/news/politics/rada-kupila-pochti-200-metrov-koljuchej-provoloki-chtoby-othoroditsja-ot-ljudej.html,"Рада купила почти 200 метров колючей проволоки, чтобы <strong>отгородиться от людей</strong>",Rada has purchased almost 200 meters of barbed wire to <strong>fence itself off from the people</strong>.,2018-08-14 14:58:56 +00,influencer,newsone.ua
2626963,http://www.kievpravda.com/news/62739,Верховная Рада <strong>закупила</strong> колючую проволоку,Verkhovna Rada has <strong>procured</strong> barbed wire.,2018-08-14 16:15:00 +00,small_bad,kievpravda.com
,https://ukraina.ru/news/20180814/1020824516.html,Верховная Рада <strong>отгородится</strong> от украинцев колючей проволокой,Verkhovna Rada will <strong>fence itself off from Ukrainians</strong> with barbed wire.,2018-08-14 17:45:00 +00,small_norm_ukr,ukraina.ru
2639013,https://antikor.com.ua/articles/253556-dlja_rady_zakupjat_koljuchuju_provoloku,Для Рады <strong>закупят</strong> колючую проволоку,Barbed wire will be <strong>procured</strong> for Rada.,2018-08-14 20:32:00 +00,small_bad,antikor.com.ua
2625726,https://from-ua.com/news/455411-20-kg-zheleza-novaya-iniciativa-prevratit-verhovnuyu-radu-v-tyurmu.html,20 кг железа: новая инициатива превратит Верховную Раду в <strong>тюрьму</strong>,20 kilograms of iron: new initiative will <strong>turn Verkhovna Rada into a prison</strong>.,2018-08-15 15:19:00 +00,small_bad,from-ua.com
2630129,http://newsmir.info/1360333,20 кг железа: новая инициатива превратит Верховную Раду в <strong>тюрьму</strong>,20 kilograms of iron: new initiative will <strong>turn Verkhovna Rada into a prison</strong>.,2018-08-15 15:32:15 +00,small_bad,newsmir.info
,http://rusvesna.su/news/1534355125,Верховная рада <strong>отгораживается от народа</strong>: 190 метров колючей проволоки уже заказаны,Verkhovna Rada is <strong>fencing itself off from the people</strong>: 190 meters of barbed wire are already procured,2018-08-15 17:45:00 +00,vata,rusvesna.su
,https://1news.com.ua/ukraine/verhovna-rada-zakupila-kolyuchiy-drit.html,Верховна Рада <strong>закупила</strong> колючий дріт,Verkhovna Rada had <strong>procured</strong> barbed wire.,2018-08-15 19:35:00 +00,small_norm_ukr,1news.com.ua
2635615,https://regnum.ru/news/polit/2465706.html,Колючая <strong>проволока не спасёт</strong> Раду от волнений — эксперт,Barbed wire will not save Rada from <strong>unrests</strong> – the expert.,2018-08-16 09:48:00 +00,ru_site,regnum.ru
,https://www.obozrevatel.com/crime/ot-kogo-pryachutsya-narodnyij-deputat-raskritikoval-kolyuchuyu-provoloku-vokrug-parlamenta.htm,"""От кого <strong>прячутся</strong>?"" Нардеп рассказал, зачем Рада купила колючую проволоку",“Who are they <strong>hiding</strong> from?” MP has told why Rada has purchased barbed wire.,2018-08-17 04:45:00 +00,big_ukr,obozrevatel.com
2866115,https://antikor.com.ua/articles/256475-stalo_izvestno_skoljko_koljuchej_provoloki_zakupjat_dlja_rady,"Стало известно, сколько колючей проволоки <strong>закупят</strong> для Рады","Figured out, how much barbed wire would be <strong>procured</strong> for Rada.",2018-09-01 11:20:00 +00,small_bad,antikor.com.ua
2801181,http://ilife-news.com/59814-stalo-izvestno-skolko-kolyuchey-provoloki-zakupyat-dlya-rady.html,"Стало известно, сколько колючей проволоки <strong>закупят</strong> для Рады","Figured out, how much barbed wire would be <strong>procured</strong> for Rada.",2018-09-01 13:26:55 +00,small_bad,ilife-news.com
